Most common page first head tags


zetaweb=# select count(*), pagefirstheadtag from site_info group by pagefirstheadtag order by count(*) desc limit 500;
  count   |                                        pagefirstheadtag                                         
----------+-------------------------------------------------------------------------------------------------
 13619336 | 
   940606 | 
   149832 | Index of /
   110264 | Home
    62820 | This domain name has been registered with Gandi.net
    38736 | Welcome
    35073 | Affordable, ReliableWeb Hosting Solutions
    25789 | Welcome to nginx!
    20069 | Web Server's Default Page
    19217 | Future home of something quite cool.
    18032 | 502 Bad Gateway
    17034 | It works!
    16715 | Parallels Plesk Panel
    16368 | See, that’s what the app is perfect for.
    15356 | Parked at Loopia
    14809 | This Site Is Under Construction and Coming Soon.
    14320 | About Us
    14001 | This site is under development
    13929 | Parked on the Bun!
    11933 | 404 Not Found
    10415 | Menu
    10253 | Take advantage of this blank space.
     9962 | One more step
     9555 | Find yourself a more meaningful email address.
     9110 | Welcome!
     8784 | 자동등록방지를 위해 보안절차를 거치고 있습니다.
     8779 | Reserved for
     8664 | My Site
     8328 | return to home                                                                                 +
          |                                                                                                +
          |                                                                                                +
          | About Afternic                                                                                 +
          | Partners                                                                                       +
          | Blog                                                                                           +
          | Careers                                                                                        +
          | Privacy Policy                                                                                 +
          | Contact Us                                                                                     +
          | Legal
     7961 | Welcome to Parallels!
     7296 | About
     6715 | [Your Business Name]
     6710 | This domain is registered and protectedby MarkMonitor
     6223 | Facebook
     6172 | Future home of something quite cool
     5972 | Welcome to your website!
     5971 | Home Page
     5875 | Please turn JavaScript on and reload the page.
     5734 | My Blog
     5699 | Contact Us
     5684 | Sorry, we're doing some work on the site
     5589 | Web Hosting from Just Host
     5492 | HOME
     5433 | Sorry, the page you requested was not found.
     5359 | A New WordPress Site
     5073 | Under Construction
     4951 | Our Services
     4901 | Coming Soon
     4900 | This page has been reserved for future use
     4683 | This domain has been suspended due to non-completion of an ICANN-mandated contact verification.
     4656 | News
     4534 | How does the World’s No. 1 Brand Engage with Millennials & GenZ in Latin America?
     4450 | You have reached a domain that is pending ICANN verification.
     4394 | TM \r                                                                                          +
          |         Webhosting
     4243 | Sorry, this page doesn't exist.Please check the URL or go back a page.
     4186 | 紧急通知
     4063 | Blog
     3997 | THIS DOMAIN NAME HAS JUST BEEN REGISTERED FOR ONE OF OUR CUSTOMERS!
     3859 | Services
     3851 | WELCOME
     3608 | Website Coming Soon
     3602 | Welcome to
     3589 | Homepage
     3581 | ABOUT US
     3549 | Diese neue Domain wurde im Kundenauftrag registriert.
     3528 | Domænet er hosted af ScanNet
     3340 | About us
     3190 | Félicitations !
     3173 | Site Not Found
     3152 | THIS CLICK IS BLOCKED
     3063 | Login
     3017 | Parallels Operations Automation
     2803 | Latest News
     2785 | Main Page
     2776 | Featured Products
     2691 | Private Site
     2668 | You're almost done!
     2644 | Get Ready... Something Really Cool Is Coming Soon
     2585 | Main menu
     2550 | Shop
     2532 | Welcome to JOKER.COM
     2523 | Are you missing something?
     2521 | Protected Blog
     2460 | Oops
     2458 | Who We Are
     2421 | Accueil
     2418 | Our Mission
     2348 | Roundcube Webmail Login
     2336 | Login to SmarterMail
     2321 | 403 Forbidden
     2294 | Privacy Policy
     2285 | Contact
     2221 | Congratulations!
     2207 | Not Found
     2138 | What We Do
     2094 | Work
     2078 | Bienvenidos a
     2043 | home
     2027 | Welcome to nginx on Fedora!
     1998 | Find Jobs You'll Love Near You
     1958 | Products
     1862 | We’ll be back soon!
     1838 | Inicio
     1833 | Bezet!
     1823 | Webhotellet er klar
     1820 | WordPress.com
     1804 | Twitter
     1796 | My blog
     1760 | This Site is Under Construction and Coming Soon
     1727 | Server Default Page
     1709 | .
     1708 | Unknown address
     1690 | Posterous Spaces
     1683 | afrihost - pure internet joy
     1681 | Domæne og billig webhosting hos One.com
     1645 | This video is unavailable.
     1621 | Sign In
     1620 | Site en construction
     1619 | HTTP Test Pagepowered by CWP | CentOS-WebPanel.com
     1584 | Search
     1544 | Welcome to Your New Hosting Package
     1533 | This domain is parked courtesy of Sav.com
     1533 | Coming Soon!
     1511 | Introduction
     1504 | Hello!
     1478 | This domain name is parked FREE, courtesy of Hostinger.
     1469 | Upcoming Events
     1463 | Portfolio
     1459 | COMING SOON
     1450 | Your website is ready to go!
     1447 | DIESE SEITEBEFINDET SICHIM AUFBAU.
     1445 | Operations Automation
     1413 | Village Shop
     1404 | Recent Posts
     1358 | This site is temporarily unavailable
     1336 | It's better than Tinder!
     1322 | About Company
     1294 | Our Products
     1293 | Who we are
     1272 | Testimonials
     1268 | Welcome to nginx on Debian!
     1261 | Powered by WordPress
     1260 | Welcome to HostPapa!
     1257 | Nothing Found
     1249 | This page uses frames, please update your browser
     1225 | Account Suspended
     1220 | No Start Page
     1218 | ABOUT
     1215 | This domain is currently parked at gkg.net
     1204 | WHO WE ARE
     1201 | OUR SERVICES
     1153 | Please Enable Cookies
     1147 | What we do
     1142 | seks-vod.info
     1140 | Latest Posts
     1136 | This Website is Under Construction.                                                            +
          |       Come Back Soon.
     1133 | Hello
     1115 | Primary Menu
     1114 | This domain is expired.
     1112 | Domain Holding Page
     1107 | Hello world!
     1103 | dominios@premium.mx
     1101 | Site Title
     1093 | Úvod
     1091 | WHAT WE DO
     1090 | Website Unavailable
     1079 | Your account has been created!
     1077 | O nás
     1073 | Discover Your Dream Home
     1072 | About Me
     1066 | This domain has been registered by a LeaseWeb customer
     1059 | Website Disabled
     1041 | Just another WordPress site
     1033 | This Domain isPARKED.
     1027 | Oops, looks like the page is lost.
     1015 | 404
      999 | No website is currently present on this hostname
      997 | Index of locally available sites:
      995 | Events
      992 | This domain is hosted by UnoEuro Webhosting
      988 | Design Your Very Own Website While
      988 | Featured
      977 | Welcome to our STIHL site
      977 | NEWS
      975 | Welcome to SellOff.US                                                                          +
          | Selling Top Level Domain Names World Wide
